sl,roll,sem,year,sub_code,total_credits,credit_obtained,timestamp,sub_type
4262,0801ME11,10,2016,PH101,6,DD,9/8/2016 13:41:08:53,CORE
4263,0801ME11,10,2016,PH102,6,BB,1/30/2016 00:00:00,CORE
31902,1221MS01,1,2011,CH703,6,AA,05-01-2012 12:13,CREDIT
31903,1221MS01,2,2012,CH707,6,AB,12-04-2012 15:57,CREDIT
31904,1221MS01,2,2012,HS712,4,AB,12-07-2012 17:41,CREDIT
39020,1301EE34,3,2014,CS201,9,,11/17/2014 22:31:43:013,CORE
39021,1301EE34,3,2014,EE200,6,,11/17/2014 22:31:43:013,CORE
39022,1301EE34,3,2014,EE201,6,,11/17/2014 22:31:43:013,CORE
39023,1301EE34,3,2014,EE202,3,,11/17/2014 22:31:43:013,CORE
39024,1301EE34,3,2014,EE220,8,,11/17/2014 22:31:43:013,CORE
39025,1301EE34,3,2014,MA201,8,,11/17/2014 22:31:43:013,CORE
40029,1301ME08,3,2014,CS201,9,,11/17/2014 22:31:43:013,CORE
40030,1301ME08,3,2014,HS241,6,,11/17/2014 22:31:43:013,HS Elective
40031,1301ME08,3,2014,MA201,8,,11/17/2014 22:31:43:013,CORE
40032,1301ME08,3,2014,ME201,6,,11/17/2014 22:31:43:013,CORE
40033,1301ME08,3,2014,ME204,6,,11/17/2014 22:31:43:013,CORE
40034,1301ME08,3,2014,ME205,8,,11/17/2014 22:31:43:013,CORE
40035,1301ME08,3,2014,ME211,4,,11/17/2014 22:31:43:013,CORE
43467,1321ME03,4,2015,MS504,6,AB,4/29/2015 17:42:54,CREDIT
43473,1321ME04,3,2014,MS503,6,BC,12-03-2014 17:12,CREDIT
43474,1321ME04,3,2014,MS509,6,AB,12-03-2014 16:28,CREDIT
43481,1321ME05,4,2015,MS504,6,BB,4/29/2015 17:42:54,CREDIT
43482,1321MS01,1,2012,CH707,6,BB,12-04-2012 15:57,CREDIT
43483,1321MS01,1,2012,HS712,4,BB,12-07-2012 17:41,CREDIT
